delivery_distance,order_value,traffic_severity,weather_severity,is_small_basket,is_long_distance,delivery_friction_index,delivery_delay
9.62,11.27,1,1,1,0,1.0,-3.31
8.55,43.48,1,4,1,0,2.5,-1.2
2.15,16.81,1,4,1,0,2.5,19.38
2.1,12.8,2,1,1,0,1.5,11.74
12.67,41.17,1,2,1,1,1.5,10.74
6.9,47.64,1,1,1,0,1.0,0.49
8.1,7.31,2,4,1,0,3.0,-6.29
11.09,31.52,2,4,1,1,3.0,-8.88
15.0,28.89,3,2,1,1,2.5,-1.25
9.88,18.72,3,2,1,0,2.5,11.27
12.64,33.61,1,2,1,1,1.5,-5.25
10.04,47.82,3,1,1,1,2.0,9.13
14.87,6.47,1,2,1,1,1.5,2.26
4.27,24.16,3,4,1,0,3.5,6.34
8.34,15.17,3,1,1,0,2.0,-8.18
11.13,43.47,1,1,1,1,1.0,-6.52
10.76,13.14,2,2,1,1,2.0,-1.76
3.81,13.17,2,1,1,0,1.5,-7.02
14.71,36.55,1,2,1,1,1.5,11.51
3.08,15.62,3,2,1,0,2.5,10.49
13.2,42.18,3,1,1,1,2.0,-0.74
7.71,24.34,1,1,1,0,1.0,16.58
11.25,40.28,2,1,1,1,1.5,-2.4
12.17,22.16,3,4,1,1,3.5,-3.55
10.09,5.2,1,4,1,1,2.5,14.44
8.32,8.87,1,1,1,0,1.0,-2.91
5.88,42.18,2,4,1,0,3.0,-4.03
13.37,15.42,1,2,1,1,1.5,3.99
11.99,13.02,1,2,1,1,1.5,6.98
13.3,21.63,1,1,1,1,1.0,-0.78
8.21,12.33,3,4,1,0,3.5,-3.68
14.7,40.19,1,1,1,1,1.0,6.2
4.7,40.09,3,1,1,0,2.0,12.14
7.87,40.75,1,2,1,0,1.5,-4.37
11.15,45.21,3,2,1,1,2.5,17.64
12.03,12.3,1,4,1,1,2.5,-2.81
2.98,8.7,3,2,1,0,2.5,-2.67
13.4,25.7,3,4,1,1,3.5,3.23
3.67,5.58,3,4,1,0,3.5,8.48
11.29,30.28,3,1,1,1,2.0,14.17
4.48,5.23,1,1,1,0,1.0,5.54
9.93,19.23,3,4,1,0,3.5,19.64
4.24,45.31,3,1,1,0,2.0,2.11
5.82,36.64,1,4,1,0,2.5,-2.4
12.49,26.32,1,4,1,1,2.5,8.77
10.88,20.47,3,2,1,1,2.5,-0.79
13.2,21.17,3,1,1,1,2.0,18.67
9.68,8.52,1,4,1,0,2.5,2.83
12.87,15.33,3,2,1,1,2.5,10.72
6.23,36.23,1,4,1,0,2.5,6.04
5.05,29.65,3,4,1,0,3.5,1.56
14.26,21.52,2,1,1,1,1.5,-2.13
7.62,29.19,2,1,1,0,1.5,-6.58
13.59,38.85,3,2,1,1,2.5,0.13
5.04,34.79,2,4,1,0,3.0,4.22
9.18,20.99,3,1,1,0,2.0,-3.09
4.13,13.09,2,1,1,0,1.5,-4.03
13.14,23.31,1,2,1,1,1.5,-0.81
9.02,6.76,3,1,1,0,2.0,-3.33
8.43,31.93,1,1,1,0,1.0,16.88
13.28,48.36,1,4,1,1,2.5,16.59
14.36,30.18,1,1,1,1,1.0,15.82
6.03,14.64,1,2,1,0,1.5,7.49
10.01,30.73,2,2,1,1,2.0,8.29
10.62,40.83,3,1,1,1,2.0,-6.13
12.42,16.77,2,2,1,1,2.0,-3.65
5.02,41.58,1,1,1,0,1.0,-5.89
5.46,5.65,3,4,1,0,3.5,2.22
12.91,22.53,2,2,1,1,2.0,19.3
9.64,20.98,2,4,1,0,3.0,13.08
3.54,39.6,3,1,1,0,2.0,-8.6
9.34,39.19,1,2,1,0,1.5,-5.22
10.93,18.49,1,1,1,1,1.0,13.99
8.95,27.0,3,1,1,0,2.0,3.01
7.17,12.86,2,1,1,0,1.5,4.17
12.42,44.37,1,1,1,1,1.0,6.98
13.04,34.06,3,4,1,1,3.5,9.55
4.3,23.35,1,1,1,0,1.0,2.24
8.58,36.84,3,4,1,0,3.5,16.34
8.86,45.19,3,4,1,0,3.5,4.39
6.38,47.55,2,4,1,0,3.0,0.37
3.96,25.72,3,1,1,0,2.0,-0.42
9.76,16.46,3,2,1,0,2.5,-8.06
4.86,23.64,3,4,1,0,3.5,7.92
6.3,28.4,1,1,1,0,1.0,9.03
3.04,23.99,2,1,1,0,1.5,9.2
3.03,40.27,3,4,1,0,3.5,17.15
13.21,19.13,2,1,1,1,1.5,-6.09
3.67,6.87,2,1,1,0,1.5,7.1
7.19,30.74,2,1,1,0,1.5,-8.62
9.64,45.26,3,2,1,0,2.5,0.06
6.94,49.49,1,2,1,0,1.5,3.83
10.63,30.73,3,1,1,1,2.0,19.63
12.43,38.77,3,4,1,1,3.5,18.33
14.67,17.48,2,2,1,1,2.0,6.33
13.28,17.44,2,1,1,1,1.5,18.8
7.44,24.03,3,4,1,0,3.5,-5.9
7.91,28.11,2,1,1,0,1.5,-7.22
4.3,29.12,3,4,1,0,3.5,10.83
12.0,23.09,1,4,1,1,2.5,0.99
4.72,46.99,2,4,1,0,3.0,3.14
3.19,18.97,2,2,1,0,2.0,6.48
7.55,35.46,3,4,1,0,3.5,17.94
5.36,43.03,3,4,1,0,3.5,-7.14
10.42,27.06,2,1,1,1,1.5,12.78
2.38,45.92,3,4,1,0,3.5,2.41
2.72,16.69,2,2,1,0,2.0,1.86
7.16,45.48,2,4,1,0,3.0,6.12
7.36,38.47,1,1,1,0,1.0,9.48
8.62,10.92,3,1,1,0,2.0,17.06
5.2,34.27,1,4,1,0,2.5,-1.67
5.96,28.37,1,4,1,0,2.5,18.15
6.31,36.91,1,1,1,0,1.0,0.37
7.04,29.5,3,1,1,0,2.0,-2.33
3.15,37.24,2,2,1,0,2.0,-0.01
11.25,21.01,1,1,1,1,1.0,11.94
5.1,22.79,1,1,1,0,1.0,-6.25
5.35,16.33,1,1,1,0,1.0,9.75
3.85,11.43,2,2,1,0,2.0,15.86
8.38,36.91,2,2,1,0,2.0,-6.26
3.78,7.79,2,4,1,0,3.0,13.57
3.36,32.03,3,2,1,0,2.5,-7.07
11.22,6.25,3,1,1,1,2.0,-9.66
9.79,49.91,1,1,1,0,1.0,-0.49
6.72,11.02,2,4,1,0,3.0,15.87
13.72,42.89,1,4,1,1,2.5,17.57
4.99,20.46,1,2,1,0,1.5,4.16
3.02,39.45,2,1,1,0,1.5,11.49
5.48,10.07,2,1,1,0,1.5,5.65
7.33,34.21,3,4,1,0,3.5,18.53
4.72,29.3,1,2,1,0,1.5,-5.42
12.69,33.12,3,4,1,1,3.5,2.55
12.48,43.68,1,4,1,1,2.5,5.73
8.89,30.45,2,1,1,0,1.5,16.38
2.34,22.76,1,2,1,0,1.5,16.32
6.88,37.14,3,2,1,0,2.5,17.88
5.34,49.13,1,4,1,0,2.5,19.36
4.79,30.75,3,1,1,0,2.0,18.37
11.13,12.53,1,1,1,1,1.0,15.84
4.76,26.29,1,1,1,0,1.0,-2.81
9.27,35.14,3,4,1,0,3.5,19.88
5.97,33.15,2,4,1,0,3.0,3.99
5.45,24.18,2,1,1,0,1.5,5.78
11.22,44.05,3,2,1,1,2.5,3.9
10.91,41.57,2,2,1,1,2.0,-2.27
7.34,47.31,2,4,1,0,3.0,10.76
8.57,38.47,2,4,1,0,3.0,19.26
13.77,22.55,2,4,1,1,3.0,17.78
13.88,44.93,3,4,1,1,3.5,-6.5
11.03,24.1,2,2,1,1,2.0,0.84
4.73,18.8,1,2,1,0,1.5,12.19
6.32,36.06,3,2,1,0,2.5,8.07
5.04,49.94,3,4,1,0,3.5,11.33
9.5,20.78,1,1,1,0,1.0,1.28
13.14,28.64,3,2,1,1,2.5,1.35
6.91,39.54,2,2,1,0,2.0,4.74
4.64,35.27,3,1,1,0,2.0,3.11
2.7,16.73,2,1,1,0,1.5,5.37
7.79,21.28,2,4,1,0,3.0,12.81
7.45,48.07,3,2,1,0,2.5,-6.39
5.48,19.89,1,1,1,0,1.0,19.71
14.4,33.23,2,4,1,1,3.0,-4.14
10.25,17.98,2,2,1,1,2.0,4.3
11.66,37.47,3,4,1,1,3.5,15.85
11.57,34.73,2,2,1,1,2.0,-4.94
14.25,45.24,2,1,1,1,1.5,9.98
11.01,25.95,2,2,1,1,2.0,-9.28
10.31,36.48,2,4,1,1,3.0,-5.36
7.04,23.0,2,2,1,0,2.0,1.04
11.76,34.99,1,4,1,1,2.5,-1.41
10.02,36.17,2,1,1,1,1.5,-0.27
8.39,41.08,1,4,1,0,2.5,14.89
14.83,25.62,1,2,1,1,1.5,2.71
8.48,10.17,2,4,1,0,3.0,14.33
12.71,47.48,1,4,1,1,2.5,14.05
6.58,44.21,3,2,1,0,2.5,6.6
4.97,31.95,2,4,1,0,3.0,-7.66
7.55,10.69,2,4,1,0,3.0,-0.46
10.1,22.73,3,1,1,1,2.0,-5.78
12.71,16.85,2,4,1,1,3.0,-1.12
2.1,28.63,1,4,1,0,2.5,-4.71
12.76,49.09,1,4,1,1,2.5,3.58
7.48,45.21,2,1,1,0,1.5,12.0
4.93,49.75,2,2,1,0,2.0,-2.03
4.43,6.2,1,1,1,0,1.0,0.26
6.12,26.84,2,4,1,0,3.0,-3.99
8.66,41.33,2,4,1,0,3.0,-2.25
3.23,5.78,1,1,1,0,1.0,6.17
10.89,6.13,3,1,1,1,2.0,6.07
3.6,14.09,1,2,1,0,1.5,-1.33
6.85,7.43,3,4,1,0,3.5,9.54
8.76,5.16,3,4,1,0,3.5,-9.42
7.07,27.48,2,2,1,0,2.0,-1.32
13.08,13.6,1,1,1,1,1.0,-3.1
9.98,49.48,2,4,1,0,3.0,9.72
10.79,6.76,1,1,1,1,1.0,6.89
9.59,22.46,2,4,1,0,3.0,-1.65
8.28,42.98,1,2,1,0,1.5,15.46
14.86,29.69,3,2,1,1,2.5,1.29
9.56,20.3,1,2,1,0,1.5,-7.73
6.63,12.85,1,1,1,0,1.0,15.67
7.81,27.84,1,1,1,0,1.0,-9.51
4.09,5.26,3,1,1,0,2.0,-7.05
13.89,15.31,2,4,1,1,3.0,11.9
14.81,30.42,2,1,1,1,1.5,-1.82
2.71,38.04,1,2,1,0,1.5,-1.14
12.07,42.19,2,4,1,1,3.0,14.2
14.72,5.13,1,4,1,1,2.5,-5.44
13.59,32.13,1,2,1,1,1.5,-1.99
7.47,12.22,1,1,1,0,1.0,-9.38
4.3,40.18,1,4,1,0,2.5,-1.86
14.07,17.73,1,1,1,1,1.0,-9.14
4.71,36.09,1,1,1,0,1.0,6.89
3.7,47.47,2,1,1,0,1.5,-5.23
2.95,48.15,3,2,1,0,2.5,-6.02
4.71,6.28,2,4,1,0,3.0,-0.88
8.63,43.2,1,4,1,0,2.5,-8.03
12.69,11.32,2,4,1,1,3.0,3.22
6.14,9.15,1,1,1,0,1.0,9.59
5.14,22.33,2,2,1,0,2.0,6.49
12.41,24.02,3,4,1,1,3.5,-0.05
11.7,37.35,1,2,1,1,1.5,18.9
8.48,19.41,2,1,1,0,1.5,16.89
3.3,9.34,3,4,1,0,3.5,9.52
6.15,40.54,3,4,1,0,3.5,-6.01
14.73,12.53,2,1,1,1,1.5,11.63
3.84,13.84,1,2,1,0,1.5,15.05
4.39,7.69,3,1,1,0,2.0,9.31
9.28,45.35,3,4,1,0,3.5,17.9
2.82,7.41,3,2,1,0,2.5,-7.61
12.94,49.72,1,1,1,1,1.0,-9.77
4.07,26.29,2,1,1,0,1.5,3.81
4.83,47.1,3,4,1,0,3.5,1.71
14.2,43.63,3,4,1,1,3.5,-8.12
2.94,28.61,2,2,1,0,2.0,-0.97
10.87,45.97,3,1,1,1,2.0,12.14
13.4,14.07,1,2,1,1,1.5,16.7
3.95,40.75,1,1,1,0,1.0,11.42
10.59,22.27,1,2,1,1,1.5,7.11
13.38,37.77,2,2,1,1,2.0,4.59
3.67,40.3,3,1,1,0,2.0,15.03
3.33,34.31,3,2,1,0,2.5,-1.24
12.61,46.64,3,4,1,1,3.5,7.37
4.0,15.96,1,4,1,0,2.5,0.24
14.85,45.17,3,1,1,1,2.0,7.6
5.25,45.47,2,2,1,0,2.0,0.21
5.57,12.32,3,2,1,0,2.5,-2.82
13.65,33.86,1,4,1,1,2.5,5.57
14.53,6.04,3,1,1,1,2.0,6.39
9.49,17.77,2,4,1,0,3.0,11.89
14.58,9.06,2,1,1,1,1.5,3.99
14.5,27.35,1,1,1,1,1.0,9.78
13.27,33.55,3,4,1,1,3.5,7.62
5.31,21.8,1,2,1,0,1.5,14.03
5.11,16.68,2,2,1,0,2.0,-0.33
5.87,6.94,3,4,1,0,3.5,7.61
9.27,14.25,2,1,1,0,1.5,-5.7
11.67,35.67,1,2,1,1,1.5,-1.83
5.77,20.62,2,4,1,0,3.0,-8.39
12.94,38.82,3,2,1,1,2.5,14.16
11.43,45.92,2,1,1,1,1.5,-9.79
3.95,10.41,3,1,1,0,2.0,7.02
7.47,23.61,2,2,1,0,2.0,8.67
11.68,11.65,1,1,1,1,1.0,6.4
8.16,19.64,1,4,1,0,2.5,3.17
9.52,23.34,2,2,1,0,2.0,-0.72
2.75,35.19,1,4,1,0,2.5,2.71
5.0,42.38,3,1,1,0,2.0,-2.55
5.8,45.21,1,2,1,0,1.5,18.1
2.18,22.95,2,1,1,0,1.5,-2.04
8.17,26.41,3,2,1,0,2.5,-9.97
13.45,7.39,3,4,1,1,3.5,18.15
13.72,21.25,2,2,1,1,2.0,19.03
12.0,46.96,3,4,1,1,3.5,-0.73
2.03,47.98,3,4,1,0,3.5,9.96
2.14,41.02,2,2,1,0,2.0,15.46
12.87,46.41,2,4,1,1,3.0,7.56
8.69,6.22,2,4,1,0,3.0,2.18
11.36,46.47,1,1,1,1,1.0,18.93
7.54,30.61,2,2,1,0,2.0,10.96
13.84,48.78,3,1,1,1,2.0,-1.55
5.13,28.39,3,1,1,0,2.0,6.94
7.55,27.51,2,1,1,0,1.5,-9.62
12.93,49.38,3,2,1,1,2.5,9.65
9.29,43.46,2,4,1,0,3.0,10.54
4.62,11.96,1,2,1,0,1.5,0.43
13.52,18.57,2,4,1,1,3.0,-6.57
8.89,24.07,2,1,1,0,1.5,-8.17
11.9,36.01,1,1,1,1,1.0,-0.74
11.05,33.04,3,1,1,1,2.0,12.3
11.61,29.73,3,1,1,1,2.0,1.74
5.93,37.14,1,1,1,0,1.0,3.25
6.5,20.87,3,1,1,0,2.0,-7.12
3.48,5.31,2,2,1,0,2.0,5.73
4.49,8.05,2,1,1,0,1.5,8.06
4.57,37.9,3,1,1,0,2.0,8.44
4.53,9.67,3,1,1,0,2.0,-9.63
3.29,8.91,1,4,1,0,2.5,-2.32
14.98,13.32,2,2,1,1,2.0,15.95
14.76,29.26,3,1,1,1,2.0,-0.78
10.32,37.34,1,2,1,1,1.5,-0.57
3.54,49.79,1,1,1,0,1.0,12.46
12.79,5.72,3,1,1,1,2.0,3.93
8.62,42.87,2,1,1,0,1.5,-3.73
6.18,16.7,1,1,1,0,1.0,13.4
14.07,35.7,2,2,1,1,2.0,16.95
14.4,22.3,2,4,1,1,3.0,4.52
12.3,43.81,3,1,1,1,2.0,-1.2
14.0,42.72,3,1,1,1,2.0,-1.86
3.82,32.48,3,4,1,0,3.5,5.52
2.23,49.66,1,2,1,0,1.5,-3.53
10.5,23.64,2,2,1,1,2.0,-3.13
9.14,38.65,1,1,1,0,1.0,-4.51
5.23,39.01,1,1,1,0,1.0,1.48
10.22,23.44,2,1,1,1,1.5,-4.16
3.19,31.82,1,4,1,0,2.5,11.58
7.9,32.4,3,1,1,0,2.0,11.89
8.91,44.74,3,4,1,0,3.5,9.87
5.25,9.42,2,4,1,0,3.0,12.1
6.65,42.26,3,4,1,0,3.5,-2.86
3.86,26.48,3,4,1,0,3.5,11.04
5.9,15.13,2,1,1,0,1.5,8.9
2.05,7.52,1,4,1,0,2.5,14.58
9.23,29.76,3,1,1,0,2.0,4.78
5.02,11.22,3,4,1,0,3.5,10.96
3.5,44.4,3,2,1,0,2.5,-4.08
4.3,46.15,1,4,1,0,2.5,3.24
11.49,34.96,2,1,1,1,1.5,-6.76
5.91,15.67,2,2,1,0,2.0,-7.18
7.68,16.72,1,2,1,0,1.5,4.82
7.95,5.61,2,1,1,0,1.5,15.99
10.18,35.48,2,1,1,1,1.5,-4.11
7.29,16.62,3,1,1,0,2.0,-5.55
4.56,9.22,1,4,1,0,2.5,-9.64
13.54,28.96,2,4,1,1,3.0,4.37
12.49,6.52,1,1,1,1,1.0,-4.86
3.78,12.22,1,1,1,0,1.0,-5.7
13.22,41.45,1,1,1,1,1.0,16.12
14.56,16.33,2,1,1,1,1.5,-3.7
5.52,15.76,3,1,1,0,2.0,4.43
11.77,19.17,2,4,1,1,3.0,-8.63
13.31,32.51,2,2,1,1,2.0,3.99
13.62,21.84,3,2,1,1,2.5,6.31
6.58,17.96,1,1,1,0,1.0,-5.72
11.24,46.12,2,2,1,1,2.0,7.19
11.56,12.0,2,4,1,1,3.0,6.26
2.66,17.1,1,2,1,0,1.5,1.36
4.35,39.92,3,2,1,0,2.5,12.87
9.42,49.2,2,2,1,0,2.0,18.66
14.16,13.95,2,1,1,1,1.5,-7.51
9.77,18.31,1,4,1,0,2.5,-6.58
2.35,14.4,2,1,1,0,1.5,6.68
11.23,20.74,2,2,1,1,2.0,19.77
6.83,10.18,2,2,1,0,2.0,9.26
7.43,14.69,1,4,1,0,2.5,16.83
14.51,14.85,1,2,1,1,1.5,-3.93
3.93,41.15,1,2,1,0,1.5,9.88
13.82,15.52,3,2,1,1,2.5,0.09
4.93,49.68,2,4,1,0,3.0,8.31
9.47,8.41,3,1,1,0,2.0,-0.78
13.86,31.85,1,1,1,1,1.0,15.4
3.37,25.38,2,4,1,0,3.0,0.36
12.5,11.07,3,4,1,1,3.5,6.27
6.57,23.59,2,1,1,0,1.5,-5.15
4.11,45.77,3,4,1,0,3.5,-6.57
5.88,42.27,1,4,1,0,2.5,11.31
12.83,49.22,2,2,1,1,2.0,-2.61
9.79,36.5,3,2,1,0,2.5,-3.5
10.74,16.64,3,1,1,1,2.0,6.55
11.39,16.24,1,2,1,1,1.5,-5.59
10.75,9.13,3,2,1,1,2.5,18.5
14.53,33.93,1,2,1,1,1.5,15.74
4.78,10.76,2,2,1,0,2.0,8.55
9.81,12.51,1,2,1,0,1.5,-6.43
8.11,16.7,1,2,1,0,1.5,-7.75
7.24,40.4,2,2,1,0,2.0,17.66
3.61,36.15,1,4,1,0,2.5,19.43
11.35,20.42,2,4,1,1,3.0,2.77
5.67,15.36,3,4,1,0,3.5,12.65
14.47,18.33,2,4,1,1,3.0,12.76
5.12,36.43,3,4,1,0,3.5,19.01
4.18,38.37,2,4,1,0,3.0,18.08
2.03,42.39,3,1,1,0,2.0,11.02
14.53,35.75,2,4,1,1,3.0,-0.67
12.27,31.56,2,4,1,1,3.0,11.61
8.21,10.57,2,1,1,0,1.5,18.87
14.51,26.34,1,2,1,1,1.5,-3.41
8.24,45.84,2,4,1,0,3.0,1.71
3.99,6.17,3,4,1,0,3.5,11.73
6.6,43.08,2,1,1,0,1.5,-6.39
13.49,40.93,3,4,1,1,3.5,10.68
4.93,18.84,1,4,1,0,2.5,11.13
5.73,5.66,1,1,1,0,1.0,9.22
4.96,29.52,1,2,1,0,1.5,8.05
13.87,19.56,2,4,1,1,3.0,-1.76
5.91,15.33,3,1,1,0,2.0,-7.69
12.45,19.91,3,1,1,1,2.0,-3.05
10.99,15.85,2,2,1,1,2.0,1.26
9.36,40.81,1,4,1,0,2.5,10.12
14.43,19.01,1,1,1,1,1.0,-5.1
12.87,31.27,2,1,1,1,1.5,-9.71
9.26,44.58,3,2,1,0,2.5,-6.14
10.49,41.07,3,4,1,1,3.5,-6.22
14.48,31.36,2,1,1,1,1.5,0.91
3.1,34.29,1,2,1,0,1.5,8.16
12.33,33.57,2,1,1,1,1.5,8.03
2.31,9.42,3,1,1,0,2.0,5.21
2.81,32.38,3,1,1,0,2.0,-1.15
8.24,39.4,1,1,1,0,1.0,14.26
11.91,12.26,1,1,1,1,1.0,16.03
8.33,35.37,1,4,1,0,2.5,7.96
4.25,15.36,3,1,1,0,2.0,9.98
7.77,20.63,2,2,1,0,2.0,8.48
11.66,38.47,2,1,1,1,1.5,15.72
14.04,22.06,3,4,1,1,3.5,10.37
4.08,44.98,1,2,1,0,1.5,-9.49
9.89,13.07,2,4,1,0,3.0,-6.93
10.66,14.99,3,4,1,1,3.5,-1.62
13.56,11.24,1,1,1,1,1.0,-0.34
5.01,14.47,3,2,1,0,2.5,7.94
12.59,25.7,2,4,1,1,3.0,14.85
4.05,33.33,2,2,1,0,2.0,19.04
10.89,41.14,3,2,1,1,2.5,12.8
13.85,24.38,2,4,1,1,3.0,1.05
8.81,35.12,3,4,1,0,3.5,19.59
13.31,25.22,2,1,1,1,1.5,-9.86
12.23,10.62,1,4,1,1,2.5,12.1
4.61,10.13,1,4,1,0,2.5,8.08
2.62,28.88,3,4,1,0,3.5,-0.59
4.23,30.25,1,4,1,0,2.5,-3.45
12.84,18.04,2,1,1,1,1.5,7.78
13.62,44.99,2,1,1,1,1.5,17.35
8.25,8.02,3,4,1,0,3.5,18.67
13.03,41.44,1,1,1,1,1.0,14.45
10.09,39.48,3,4,1,1,3.5,-1.89
4.09,20.11,1,4,1,0,2.5,10.16
14.98,48.04,3,2,1,1,2.5,10.99
13.51,43.3,1,2,1,1,1.5,9.95
3.24,19.37,2,2,1,0,2.0,-1.45
10.72,23.39,2,1,1,1,1.5,-0.59
12.08,48.96,2,2,1,1,2.0,2.22
13.68,41.98,1,2,1,1,1.5,-3.96
5.28,12.51,1,2,1,0,1.5,-0.06
7.01,40.55,2,2,1,0,2.0,-0.05
6.36,23.21,3,1,1,0,2.0,16.71
12.96,28.61,2,2,1,1,2.0,12.09
12.69,45.67,3,2,1,1,2.5,12.1
13.57,24.44,1,2,1,1,1.5,18.21
3.75,35.75,1,2,1,0,1.5,3.88
6.91,28.48,2,4,1,0,3.0,-4.68
11.48,32.55,1,2,1,1,1.5,4.06
7.57,8.87,1,4,1,0,2.5,9.86
12.33,39.93,2,2,1,1,2.0,11.66
14.07,27.62,3,2,1,1,2.5,18.52
8.32,39.67,2,4,1,0,3.0,5.57
12.81,33.19,2,4,1,1,3.0,10.81
11.72,41.78,3,1,1,1,2.0,10.56
4.08,46.86,2,1,1,0,1.5,-6.58
4.71,14.54,2,4,1,0,3.0,16.71
12.06,49.12,2,2,1,1,2.0,7.47
10.06,46.63,3,4,1,1,3.5,17.17
6.25,6.31,1,2,1,0,1.5,17.99
10.03,47.96,2,1,1,1,1.5,-7.61
7.51,35.16,2,4,1,0,3.0,14.5
10.18,39.28,3,2,1,1,2.5,0.47
6.66,28.85,3,4,1,0,3.5,-6.02
8.76,7.08,3,4,1,0,3.5,6.4
5.07,22.9,3,1,1,0,2.0,-3.32
13.27,17.31,3,4,1,1,3.5,11.05
8.7,46.39,3,4,1,0,3.5,16.47
8.67,33.49,2,1,1,0,1.5,15.54
7.57,47.4,2,2,1,0,2.0,18.34
3.54,38.67,1,2,1,0,1.5,7.28
10.74,43.19,2,1,1,1,1.5,13.71
7.13,39.33,3,4,1,0,3.5,-3.62
3.97,32.79,3,2,1,0,2.5,-9.02
13.69,17.12,1,4,1,1,2.5,5.34
2.84,10.75,2,4,1,0,3.0,19.36
9.23,25.98,2,1,1,0,1.5,-0.33
2.18,15.33,2,1,1,0,1.5,-5.92
6.41,33.77,2,4,1,0,3.0,17.43
3.88,29.58,3,4,1,0,3.5,16.6
9.72,29.53,3,2,1,0,2.5,1.0
13.3,37.84,2,4,1,1,3.0,4.57
9.05,29.68,1,1,1,0,1.0,-7.24
14.65,28.52,1,1,1,1,1.0,0.03
14.7,24.29,1,2,1,1,1.5,8.39
7.17,18.62,2,4,1,0,3.0,12.97
11.22,34.42,1,2,1,1,1.5,7.25
9.55,31.24,3,1,1,0,2.0,-4.27
6.28,24.13,1,2,1,0,1.5,15.21
4.12,48.98,1,1,1,0,1.0,19.82
11.04,20.25,2,1,1,1,1.5,-6.44
10.24,20.88,3,1,1,1,2.0,12.52
14.17,9.1,1,1,1,1,1.0,-7.83
14.18,18.6,3,2,1,1,2.5,4.64
7.3,31.16,2,2,1,0,2.0,0.5
7.72,13.53,1,1,1,0,1.0,15.97
4.95,30.03,2,4,1,0,3.0,-1.5
7.6,8.75,2,4,1,0,3.0,-3.44
12.01,24.4,3,4,1,1,3.5,-5.1
5.02,24.56,2,4,1,0,3.0,-9.18
5.57,5.8,3,4,1,0,3.5,12.29
8.6,49.97,2,1,1,0,1.5,19.66
12.84,5.69,3,4,1,1,3.5,9.73
3.37,5.78,3,4,1,0,3.5,0.75
7.0,11.56,2,1,1,0,1.5,7.14
10.26,40.62,2,1,1,1,1.5,12.32
13.83,22.86,3,1,1,1,2.0,17.21
4.57,45.4,1,2,1,0,1.5,4.44
2.76,25.32,3,4,1,0,3.5,1.86
3.57,6.8,3,4,1,0,3.5,16.12
